code|name|category|featured
DT.ODA.ODAT.GI.ZS|Net ODA received (% of gross capital formation)|Aid Effectiveness|TRUE
DT.ODA.ODAT.MP.ZS|Net ODA received (% of imports of goods, services and primary income)|Aid Effectiveness|TRUE
DT.ODA.ODAT.PC.ZS|Net ODA received per capita (current US$)|Aid Effectiveness|TRUE
DC.DAC.AUSL.CD|Net bilateral aid flows from DAC donors, Australia (current US$)|Aid Effectiveness|FALSE
DC.DAC.AUTL.CD|Net bilateral aid flows from DAC donors, Austria (current US$)|Aid Effectiveness|FALSE
DC.DAC.BELL.CD|Net bilateral aid flows from DAC donors, Belgium (current US$)|Aid Effectiveness|FALSE
DC.DAC.CANL.CD|Net bilateral aid flows from DAC donors, Canada (current US$)|Aid Effectiveness|FALSE
DC.DAC.CZEL.CD|Net bilateral aid flows from DAC donors, Czechia (current US$)|Aid Effectiveness|FALSE
DC.DAC.DNKL.CD|Net bilateral aid flows from DAC donors, Denmark (current US$)|Aid Effectiveness|FALSE
DC.DAC.CECL.CD|Net bilateral aid flows from DAC donors, European Union institutions (current US$)|Aid Effectiveness|FALSE
DC.DAC.FINL.CD|Net bilateral aid flows from DAC donors, Finland (current US$)|Aid Effectiveness|FALSE
DC.DAC.FRAL.CD|Net bilateral aid flows from DAC donors, France (current US$)|Aid Effectiveness|FALSE
DC.DAC.DEUL.CD|Net bilateral aid flows from DAC donors, Germany (current US$)|Aid Effectiveness|FALSE
DC.DAC.GRCL.CD|Net bilateral aid flows from DAC donors, Greece (current US$)|Aid Effectiveness|FALSE
DC.DAC.HUNL.CD|Net bilateral aid flows from DAC donors, Hungary (current US$)|Aid Effectiveness|FALSE
DC.DAC.ISLL.CD|Net bilateral aid flows from DAC donors, Iceland (current US$)|Aid Effectiveness|FALSE
DC.DAC.IRLL.CD|Net bilateral aid flows from DAC donors, Ireland (current US$)|Aid Effectiveness|FALSE
DC.DAC.ITAL.CD|Net bilateral aid flows from DAC donors, Italy (current US$)|Aid Effectiveness|FALSE
DC.DAC.JPNL.CD|Net bilateral aid flows from DAC donors, Japan (current US$)|Aid Effectiveness|FALSE
DC.DAC.KORL.CD|Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)|Aid Effectiveness|FALSE
DC.DAC.LUXL.CD|Net bilateral aid flows from DAC donors, Luxembourg (current US$)|Aid Effectiveness|FALSE
DC.DAC.NLDL.CD|Net bilateral aid flows from DAC donors, Netherlands (current US$)|Aid Effectiveness|FALSE
DC.DAC.NZLL.CD|Net bilateral aid flows from DAC donors, New Zealand (current US$)|Aid Effectiveness|FALSE
DC.DAC.NORL.CD|Net bilateral aid flows from DAC donors, Norway (current US$)|Aid Effectiveness|FALSE
DC.DAC.POLL.CD|Net bilateral aid flows from DAC donors, Poland (current US$)|Aid Effectiveness|FALSE
DC.DAC.PRTL.CD|Net bilateral aid flows from DAC donors, Portugal (current US$)|Aid Effectiveness|FALSE
DC.DAC.SVKL.CD|Net bilateral aid flows from DAC donors, Slovak Republic (current US$)|Aid Effectiveness|FALSE
DC.DAC.SVNL.CD|Net bilateral aid flows from DAC donors, Slovenia (current US$)|Aid Effectiveness|FALSE
DC.DAC.ESPL.CD|Net bilateral aid flows from DAC donors, Spain (current US$)|Aid Effectiveness|FALSE
DC.DAC.SWEL.CD|Net bilateral aid flows from DAC donors, Sweden (current US$)|Aid Effectiveness|FALSE
DC.DAC.CHEL.CD|Net bilateral aid flows from DAC donors, Switzerland (current US$)|Aid Effectiveness|FALSE
DC.DAC.TOTL.CD|Net bilateral aid flows from DAC donors, Total (current US$)|Aid Effectiveness|FALSE
DC.DAC.GBRL.CD|Net bilateral aid flows from DAC donors, United Kingdom (current US$)|Aid Effectiveness|FALSE
DC.DAC.USAL.CD|Net bilateral aid flows from DAC donors, United States (current US$)|Aid Effectiveness|FALSE
SM.POP.NETM|Net migration|Aid Effectiveness|TRUE
DT.ODA.OATL.KD|Net official aid received (constant 2021 US$)|Aid Effectiveness|FALSE
DT.ODA.OATL.CD|Net official aid received (current US$)|Aid Effectiveness|FALSE
DT.ODA.ALLD.KD|Net official development assistance and official aid received (constant 2021 US$)|Aid Effectiveness|FALSE
DT.ODA.ALLD.CD|Net official development assistance and official aid received (current US$)|Aid Effectiveness|FALSE
DT.ODA.ODAT.KD|Net official development assistance received (constant 2021 US$)|Aid Effectiveness|FALSE
DT.ODA.ODAT.CD|Net official development assistance received (current US$)|Aid Effectiveness|TRUE
DT.NFL.FAOG.CD|Net official flows from UN agencies, FAO (current US$)|Aid Effectiveness|FALSE
DT.NFL.IAEA.CD|Net official flows from UN agencies, IAEA (current US$)|Aid Effectiveness|FALSE
DT.NFL.IFAD.CD|Net official flows from UN agencies, IFAD (current US$)|Aid Effectiveness|FALSE
DT.NFL.ILOG.CD|Net official flows from UN agencies, ILO (current US$)|Aid Effectiveness|FALSE
DT.NFL.UNAI.CD|Net official flows from UN agencies, UNAIDS (current US$)|Aid Effectiveness|FALSE
DT.NFL.UNDP.CD|Net official flows from UN agencies, UNDP (current US$)|Aid Effectiveness|FALSE
DT.NFL.UNEC.CD|Net official flows from UN agencies, UNECE (current US$)|Aid Effectiveness|FALSE
DT.NFL.UNEP.CD|Net official flows from UN agencies, UNEP (current US$)|Aid Effectiveness|FALSE
DT.NFL.UNFP.CD|Net official flows from UN agencies, UNFPA (current US$)|Aid Effectiveness|FALSE
DT.NFL.UNCR.CD|Net official flows from UN agencies, UNHCR (current US$)|Aid Effectiveness|FALSE
DT.NFL.UNCF.CD|Net official flows from UN agencies, UNICEF (current US$)|Aid Effectiveness|FALSE
DT.NFL.UNID.CD|Net official flows from UN agencies, UNIDIR (current US$)|Aid Effectiveness|FALSE
DT.NFL.UNPB.CD|Net official flows from UN agencies, UNPBF (current US$)|Aid Effectiveness|FALSE
DT.NFL.UNRW.CD|Net official flows from UN agencies, UNRWA (current US$)|Aid Effectiveness|FALSE
DT.NFL.UNTA.CD|Net official flows from UN agencies, UNTA (current US$)|Aid Effectiveness|FALSE
DT.NFL.UNWT.CD|Net official flows from UN agencies, UNWTO (current US$)|Aid Effectiveness|FALSE
DT.NFL.WFPG.CD|Net official flows from UN agencies, WFP (current US$)|Aid Effectiveness|FALSE
DT.NFL.WHOL.CD|Net official flows from UN agencies, WHO (current US$)|Aid Effectiveness|FALSE
SI.POV.DDAY|Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)|Aid Effectiveness|TRUE
SH.STA.ANVC.ZS|Pregnant women receiving prenatal care (%)|Aid Effectiveness|TRUE
SH.DYN.AIDS.ZS|Prevalence of HIV, total (% of population ages 15-49)|Aid Effectiveness|TRUE
SH.STA.STNT.ZS|Prevalence of stunting, height for age (% of children under 5)|Aid Effectiveness|TRUE
SE.PRM.CMPT.ZS|Primary completion rate, total (% of relevant age group)|Aid Effectiveness|TRUE
SE.ENR.PRSC.FM.ZS|School enrollment, primary and secondary (gross), gender parity index (GPI)|Aid Effectiveness|TRUE
BX.GRT.TECH.CD.WD|Technical cooperation grants (BoP, current US$)|Aid Effectiveness|TRUE
SL.EMP.VULN.ZS|Vulnerable employment, total (% of total employment) (modeled ILO estimate)|Aid Effectiveness|FALSE
EG.ELC.ACCS.ZS|Access to electricity (% of population)|Climate Change|TRUE
AG.LND.IRIG.AG.ZS|Agricultural irrigated land (% of total agricultural land)|Climate Change|TRUE
AG.LND.AGRI.ZS|Agricultural land (% of land area)|Climate Change|TRUE
AG.LND.AGRI.K2|Agricultural land (sq. km)|Climate Change|FALSE
NV.AGR.TOTL.ZS|Agriculture, forestry, and fishing, value added (% of GDP)|Climate Change|TRUE
ER.H2O.FWTL.ZS|Annual freshwater withdrawals, total (% of internal resources)|Climate Change|TRUE
ER.H2O.FWTL.K3|Annual freshwater withdrawals, total (billion cubic meters)|Climate Change|TRUE
AG.LND.ARBL.ZS|Arable land (% of land area)|Climate Change|TRUE
AG.LND.PRCP.MM|Average precipitation in depth (mm per year)|Climate Change|FALSE
IQ.CPA.PUBS.XQ|CPIA public sector management and institutions cluster average (1=low to 6=high)|Climate Change|TRUE
AG.YLD.CREL.KG|Cereal yield (kg per hectare)|Climate Change|TRUE
SH.MED.CMHW.P3|Community health workers (per 1,000 people)|Climate Change|FALSE
EN.CLC.DRSK.XQ|Disaster risk reduction progress score (1-5 scale; 5=best)|Climate Change|FALSE
EN.CLC.MDAT.ZS|Droughts, floods, extreme temperatures (% of population, average 1990-2009)|Climate Change|FALSE
IC.BUS.EASE.XQ|Ease of doing business rank (1=most business-friendly regulations)|Climate Change|TRUE
EG.USE.ELEC.KH.PC|Electric power consumption (kWh per capita)|Climate Change|TRUE
EG.ELC.COAL.ZS|Electricity production from coal sources (% of total)|Climate Change|FALSE
EG.ELC.HYRO.ZS|Electricity production from hydroelectric sources (% of total)|Climate Change|FALSE
EG.ELC.NGAS.ZS|Electricity production from natural gas sources (% of total)|Climate Change|FALSE
EG.ELC.NUCL.ZS|Electricity production from nuclear sources (% of total)|Climate Change|FALSE
EG.ELC.PETR.ZS|Electricity production from oil sources (% of total)|Climate Change|FALSE
EG.ELC.RNWX.ZS|Electricity production from renewable sources, excluding hydroelectric (% of total)|Climate Change|FALSE
EG.ELC.RNWX.KH|Electricity production from renewable sources, excluding hydroelectric (kWh)|Climate Change|FALSE
EG.USE.PCAP.KG.OE|Energy use (kg of oil equivalent per capita)|Climate Change|TRUE
EG.USE.COMM.GD.PP.KD|Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)|Climate Change|FALSE
BX.KLT.DINV.WD.GD.ZS|Foreign direct investment, net inflows (% of GDP)|Climate Change|FALSE
AG.LND.FRST.ZS|Forest area (% of land area)|Climate Change|TRUE
AG.LND.FRST.K2|Forest area (sq. km)|Climate Change|TRUE
AG.LND.EL5M.ZS|Land area where elevation is below 5 meters (% of total land area)|Climate Change|TRUE
ER.MRN.PTMR.ZS|Marine protected areas (% of territorial waters)|Climate Change|FALSE
SH.DYN.MORT|Mortality rate, under-5 (per 1,000 live births)|Climate Change|TRUE
SP.POP.GROW|Population growth (annual %)|Climate Change|TRUE
EN.URB.MCTY.TL.ZS|Population in urban agglomerations of more than 1 million (% of total population)|Climate Change|TRUE
EN.POP.EL5M.ZS|Population living in areas where elevation is below 5 meters (% of total population)|Climate Change|TRUE
SP.POP.TOTL|Population, total|Climate Change|TRUE
SI.POV.DDAY|Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)|Climate Change|TRUE
SH.STA.MALN.ZS|Prevalence of underweight, weight for age (% of children under 5)|Climate Change|TRUE
SE.PRM.CMPT.ZS|Primary completion rate, total (% of relevant age group)|Climate Change|TRUE
EG.ELC.RNEW.ZS|Renewable electricity output (% of total electricity output)|Climate Change|TRUE
EG.FEC.RNEW.ZS|Renewable energy consumption (% of total final energy consumption)|Climate Change|TRUE
AG.LND.EL5M.RU.ZS|Rural land area where elevation is below 5 meters (% of total land area)|Climate Change|FALSE
AG.LND.EL5M.RU.K2|Rural land area where elevation is below 5 meters (sq. km)|Climate Change|FALSE
EN.POP.EL5M.RU.ZS|Rural population living in areas where elevation is below 5 meters (% of total population)|Climate Change|FALSE
SE.ENR.PRSC.FM.ZS|School enrollment, primary and secondary (gross), gender parity index (GPI)|Climate Change|TRUE
ER.PTD.TOTL.ZS|Terrestrial and marine protected areas (% of total territorial area)|Climate Change|TRUE
ER.LND.PTLD.ZS|Terrestrial protected areas (% of total land area)|Climate Change|FALSE
AG.LND.EL5M.UR.ZS|Urban land area where elevation is below 5 meters (% of total land area)|Climate Change|FALSE
AG.LND.EL5M.UR.K2|Urban land area where elevation is below 5 meters (sq. km)|Climate Change|FALSE
SP.URB.TOTL|Urban population|Climate Change|TRUE
SP.URB.TOTL.IN.ZS|Urban population (% of total population)|Climate Change|TRUE
SP.URB.GROW|Urban population growth (annual %)|Climate Change|FALSE
EN.POP.EL5M.UR.ZS|Urban population living in areas where elevation is below 5 meters (% of total population)|Climate Change|FALSE
NY.ADJ.NNTY.KD.ZG|Adjusted net national income (annual % growth)|Economy & Growth|FALSE
NY.ADJ.NNTY.KD|Adjusted net national income (constant 2015 US$)|Economy & Growth|FALSE
NY.ADJ.NNTY.CD|Adjusted net national income (current US$)|Economy & Growth|FALSE
NY.ADJ.NNTY.PC.KD.ZG|Adjusted net national income per capita (annual % growth)|Economy & Growth|FALSE
NY.ADJ.NNTY.PC.KD|Adjusted net national income per capita (constant 2015 US$)|Economy & Growth|FALSE
NY.ADJ.NNTY.PC.CD|Adjusted net national income per capita (current US$)|Economy & Growth|FALSE
NY.ADJ.SVNX.GN.ZS|Adjusted net savings, excluding particulate emission damage (% of GNI)|Economy & Growth|FALSE
NY.ADJ.SVNX.CD|Adjusted net savings, excluding particulate emission damage (current US$)|Economy & Growth|FALSE
NY.ADJ.SVNG.GN.ZS|Adjusted net savings, including particulate emission damage (% of GNI)|Economy & Growth|TRUE
NY.ADJ.SVNG.CD|Adjusted net savings, including particulate emission damage (current US$)|Economy & Growth|FALSE
NY.ADJ.DCO2.GN.ZS|Adjusted savings: carbon dioxide damage (% of GNI)|Economy & Growth|FALSE
NY.ADJ.DCO2.CD|Adjusted savings: carbon dioxide damage (current US$)|Economy & Growth|FALSE
NY.ADJ.DKAP.GN.ZS|Adjusted savings: consumption of fixed capital (% of GNI)|Economy & Growth|FALSE
NY.ADJ.DKAP.CD|Adjusted savings: consumption of fixed capital (current US$)|Economy & Growth|FALSE
NY.ADJ.AEDU.GN.ZS|Adjusted savings: education expenditure (% of GNI)|Economy & Growth|FALSE
NY.ADJ.AEDU.CD|Adjusted savings: education expenditure (current US$)|Economy & Growth|FALSE
NY.ADJ.DNGY.GN.ZS|Adjusted savings: energy depletion (% of GNI)|Economy & Growth|FALSE
NY.ADJ.DNGY.CD|Adjusted savings: energy depletion (current US$)|Economy & Growth|FALSE
NY.ADJ.ICTR.GN.ZS|Adjusted savings: gross savings (% of GNI)|Economy & Growth|FALSE
NY.ADJ.DMIN.GN.ZS|Adjusted savings: mineral depletion (% of GNI)|Economy & Growth|FALSE
NY.ADJ.DMIN.CD|Adjusted savings: mineral depletion (current US$)|Economy & Growth|FALSE
NY.ADJ.DRES.GN.ZS|Adjusted savings: natural resources depletion (% of GNI)|Economy & Growth|FALSE
NY.ADJ.DFOR.GN.ZS|Adjusted savings: net forest depletion (% of GNI)|Economy & Growth|FALSE
NY.ADJ.DFOR.CD|Adjusted savings: net forest depletion (current US$)|Economy & Growth|FALSE
NY.ADJ.NNAT.GN.ZS|Adjusted savings: net national savings (% of GNI)|Economy & Growth|FALSE
NY.ADJ.NNAT.CD|Adjusted savings: net national savings (current US$)|Economy & Growth|FALSE
NY.ADJ.DPEM.GN.ZS|Adjusted savings: particulate emission damage (% of GNI)|Economy & Growth|FALSE
NY.ADJ.DPEM.CD|Adjusted savings: particulate emission damage (current US$)|Economy & Growth|FALSE
NV.AGR.TOTL.ZS|Agriculture, forestry, and fishing, value added (% of GDP)|Economy & Growth|TRUE
NV.AGR.TOTL.KD.ZG|Agriculture, forestry, and fishing, value added (annual % growth)|Economy & Growth|FALSE
NV.AGR.TOTL.KD|Agriculture, forestry, and fishing, value added (constant 2015 US$)|Economy & Growth|FALSE
NV.AGR.TOTL.KN|Agriculture, forestry, and fishing, value added (constant LCU)|Economy & Growth|FALSE
NV.AGR.TOTL.CN|Agriculture, forestry, and fishing, value added (current LCU)|Economy & Growth|FALSE
NV.AGR.TOTL.CD|Agriculture, forestry, and fishing, value added (current US$)|Economy & Growth|FALSE
NV.AGR.EMPL.KD|Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)|Economy & Growth|FALSE
GC.DOD.TOTL.GD.ZS|Central government debt, total (% of GDP)|Economy & Growth|TRUE
NE.GDI.STKB.KN|Changes in inventories (constant LCU)|Economy & Growth|FALSE
NE.GDI.STKB.CN|Changes in inventories (current LCU)|Economy & Growth|FALSE
NE.GDI.STKB.CD|Changes in inventories (current US$)|Economy & Growth|FALSE
BM.GSR.ROYL.CD|Charges for the use of intellectual property, payments (BoP, current US$)|Economy & Growth|TRUE
BX.GSR.ROYL.CD|Charges for the use of intellectual property, receipts (BoP, current US$)|Economy & Growth|TRUE
NV.MNF.CHEM.ZS.UN|Chemicals (% of value added in manufacturing)|Economy & Growth|FALSE
BX.GSR.CMCP.ZS|Communications, computer, etc. (% of service exports, BoP)|Economy & Growth|FALSE
BM.GSR.CMCP.ZS|Communications, computer, etc. (% of service imports, BoP)|Economy & Growth|FALSE
BN.CAB.XOKA.GD.ZS|Current account balance (% of GDP)|Economy & Growth|FALSE
BN.CAB.XOKA.CD|Current account balance (BoP, current US$)|Economy & Growth|TRUE
PA.NUS.ATLS|DEC alternative conversion factor (LCU per US$)|Economy & Growth|FALSE
NY.GDP.DISC.KN|Discrepancy in expenditure estimate of GDP (constant LCU)|Economy & Growth|FALSE
NY.GDP.DISC.CN|Discrepancy in expenditure estimate of GDP (current LCU)|Economy & Growth|FALSE
GC.XPN.TOTL.GD.ZS|Expense (% of GDP)|Economy & Growth|TRUE
NY.EXP.CAPM.KN|Exports as a capacity to import (constant LCU)|Economy & Growth|FALSE
NE.EXP.GNFS.ZS|Exports of goods and services (% of GDP)|Economy & Growth|TRUE
BX.GSR.GNFS.CD|Exports of goods and services (BoP, current US$)|Economy & Growth|FALSE
NE.EXP.GNFS.KD.ZG|Exports of goods and services (annual % growth)|Economy & Growth|FALSE
NE.EXP.GNFS.KD|Exports of goods and services (constant 2015 US$)|Economy & Growth|FALSE
NE.EXP.GNFS.KN|Exports of goods and services (constant LCU)|Economy & Growth|FALSE
NE.EXP.GNFS.CN|Exports of goods and services (current LCU)|Economy & Growth|FALSE
NE.EXP.GNFS.CD|Exports of goods and services (current US$)|Economy & Growth|FALSE
BX.GSR.TOTL.CD|Exports of goods, services and primary income (BoP, current US$)|Economy & Growth|FALSE
NE.RSB.GNFS.ZS|External balance on goods and services (% of GDP)|Economy & Growth|FALSE
NE.RSB.GNFS.KN|External balance on goods and services (constant LCU)|Economy & Growth|FALSE
NE.RSB.GNFS.CN|External balance on goods and services (current LCU)|Economy & Growth|FALSE
NE.RSB.GNFS.CD|External balance on goods and services (current US$)|Economy & Growth|FALSE
DT.DOD.DECT.GN.ZS|External debt stocks (% of GNI)|Economy & Growth|TRUE
DT.DOD.DECT.CD|External debt stocks, total (DOD, current US$)|Economy & Growth|TRUE
NE.CON.TOTL.ZS|Final consumption expenditure (% of GDP)|Economy & Growth|FALSE
NE.CON.TOTL.KD.ZG|Final consumption expenditure (annual % growth)|Economy & Growth|FALSE
NE.CON.TOTL.KD|Final consumption expenditure (constant 2015 US$)|Economy & Growth|FALSE
NE.CON.TOTL.KN|Final consumption expenditure (constant LCU)|Economy & Growth|FALSE
NE.CON.TOTL.CN|Final consumption expenditure (current LCU)|Economy & Growth|FALSE
NE.CON.TOTL.CD|Final consumption expenditure (current US$)|Economy & Growth|FALSE
NV.FSM.TOTL.KN|Financial intermediary services indirectly Measured (FISIM) (constant LCU)|Economy & Growth|FALSE
NV.FSM.TOTL.CN|Financial intermediary services indirectly Measured (FISIM) (current LCU)|Economy & Growth|FALSE
NV.MNF.FBTO.ZS.UN|Food, beverages and tobacco (% of value added in manufacturing)|Economy & Growth|FALSE
BN.KLT.DINV.CD|Foreign direct investment, net (BoP, current US$)|Economy & Growth|FALSE
BX.KLT.DINV.WD.GD.ZS|Foreign direct investment, net inflows (% of GDP)|Economy & Growth|FALSE
BX.KLT.DINV.CD.WD|Foreign direct investment, net inflows (BoP, current US$)|Economy & Growth|TRUE
BM.KLT.DINV.WD.GD.ZS|Foreign direct investment, net outflows (% of GDP)|Economy & Growth|FALSE
BM.KLT.DINV.CD.WD|Foreign direct investment, net outflows (BoP, current US$)|Economy & Growth|FALSE
NY.GDP.MKTP.KD|GDP (constant 2015 US$)|Economy & Growth|FALSE
NY.GDP.MKTP.KN|GDP (constant LCU)|Economy & Growth|FALSE
NY.GDP.MKTP.CN|GDP (current LCU)|Economy & Growth|FALSE
NY.GDP.MKTP.CD|GDP (current US$)|Economy & Growth|TRUE
NY.GDP.DEFL.ZS|GDP deflator (base year varies by country)|Economy & Growth|FALSE
NY.GDP.MKTP.KD.ZG|GDP growth (annual %)|Economy & Growth|TRUE
NY.GDP.PCAP.KD|GDP per capita (constant 2015 US$)|Economy & Growth|FALSE
NY.GDP.PCAP.KN|GDP per capita (constant LCU)|Economy & Growth|FALSE
NY.GDP.PCAP.CN|GDP per capita (current LCU)|Economy & Growth|FALSE
NY.GDP.PCAP.CD|GDP per capita (current US$)|Economy & Growth|TRUE
NY.GDP.PCAP.KD.ZG|GDP per capita growth (annual %)|Economy & Growth|TRUE
NY.GDP.PCAP.PP.KD|GDP per capita, PPP (constant 2021 international $)|Economy & Growth|FALSE
NY.GDP.PCAP.PP.CD|GDP per capita, PPP (current international $)|Economy & Growth|TRUE
NY.GDP.MKTP.PP.KD|GDP, PPP (constant 2021 international $)|Economy & Growth|FALSE
NY.GDP.MKTP.PP.CD|GDP, PPP (current international $)|Economy & Growth|FALSE
NY.GDP.MKTP.CN.AD|GDP: linked series (current LCU)|Economy & Growth|FALSE
NY.GNP.MKTP.KD|GNI (constant 2015 US$)|Economy & Growth|FALSE
NY.GNP.MKTP.KN|GNI (constant LCU)|Economy & Growth|FALSE
NY.GNP.MKTP.CN|GNI (current LCU)|Economy & Growth|FALSE
NY.GNP.MKTP.CD|GNI (current US$)|Economy & Growth|FALSE
NY.GNP.MKTP.KD.ZG|GNI growth (annual %)|Economy & Growth|FALSE
NY.GNP.PCAP.KD|GNI per capita (constant 2015 US$)|Economy & Growth|FALSE
NY.GNP.PCAP.KN|GNI per capita (constant LCU)|Economy & Growth|FALSE
NY.GNP.PCAP.CN|GNI per capita (current LCU)|Economy & Growth|FALSE
NY.GNP.PCAP.KD.ZG|GNI per capita growth (annual %)|Economy & Growth|FALSE
NY.GNP.PCAP.CD|GNI per capita, Atlas method (current US$)|Economy & Growth|TRUE
NY.GNP.PCAP.PP.KD|GNI per capita, PPP (constant 2021 international $)|Economy & Growth|FALSE
NY.GNP.PCAP.PP.CD|GNI per capita, PPP (current international $)|Economy & Growth|TRUE
NY.GNP.ATLS.CD|GNI, Atlas method (current US$)|Economy & Growth|TRUE
NY.GNP.MKTP.PP.KD|GNI, PPP (constant 2021 international $)|Economy & Growth|FALSE
NY.GNP.MKTP.PP.CD|GNI, PPP (current international $)|Economy & Growth|TRUE
NY.GNP.MKTP.CN.AD|GNI: linked series (current LCU)|Economy & Growth|FALSE
NE.CON.GOVT.ZS|General government final consumption expenditure (% of GDP)|Economy & Growth|FALSE
NE.CON.GOVT.KD.ZG|General government final consumption expenditure (annual % growth)|Economy & Growth|FALSE
NE.CON.GOVT.KD|General government final consumption expenditure (constant 2015 US$)|Economy & Growth|FALSE
NE.CON.GOVT.KN|General government final consumption expenditure (constant LCU)|Economy & Growth|FALSE
NE.CON.GOVT.CN|General government final consumption expenditure (current LCU)|Economy & Growth|FALSE
NE.CON.GOVT.CD|General government final consumption expenditure (current US$)|Economy & Growth|FALSE
BX.GSR.MRCH.CD|Goods exports (BoP, current US$)|Economy & Growth|FALSE
BM.GSR.MRCH.CD|Goods imports (BoP, current US$)|Economy & Growth|FALSE
BX.GRT.EXTA.CD.WD|Grants, excluding technical cooperation (BoP, current US$)|Economy & Growth|TRUE
NE.GDI.TOTL.ZS|Gross capital formation (% of GDP)|Economy & Growth|TRUE
